priority_rank,resource_id,url,claim_count,category,description,already_ingested_by_this_library
147,RES-0055,https://nlihc.org/resource/systematic-research-review-finds-benefits-housing-first-programs-us-outweigh-costs,1,Other (nlihc.org),NLIHC — Systematic Research Review: Housing First Benefits Outweigh Costs,yes
148,RES-0056,https://ojs.lib.uwo.ca/index.php/ijoh/article/view/16652,1,Other (ojs.lib.uwo.ca),Kirwan and McLaughlin International Journal on Homelessness 2024,no
149,RES-0057,https://ontario.cmha.ca/bill-6/,1,Other (ontario.cmha.ca),CMHA Ontario,no
150,RES-0058,https://ontario.cmha.ca/provincial-policy/health-systems-transformation/history-of-mental-health-reform/,1,Other (ontario.cmha.ca),ResearchGate (Restructuring Mental Health Policy in Ontario: Deconstructing the Evolving Welfare Sta,no
151,RES-0059,https://ontarioliberal.ca/homelessness-is-solvable-the-homelessness-ends-with-housing-act-calls-for-decisive-action/,1,Other (ontarioliberal.ca),Ontario Liberal Party — Bill 28 Defeat Statement (May 2026),yes
152,RES-0060,https://openpolicyontario.com/channeling-the-1995-welfare-cuts-even-if-we-agreed-with-them-rates-would-now-be-more-than-200-a-month-higher/,1,Other (openpolicyontario.com),John Stapleton / Open Policy Ontario — Ontario Social Assistance Rate History,yes
153,RES-0061,https://pmc.ncbi.nlm.nih.gov/articles/PMC11581741/,1,Academic (PubMed/PMC/preprint),NYC Right-to-Counsel and Eviction Warrant Reduction (cohort study),yes
154,RES-0062,https://pmc.ncbi.nlm.nih.gov/articles/PMC2323142/,1,Academic (PubMed/PMC/preprint),Slesnick et al. (2008) — Health Services Research,yes
155,RES-0063,https://pmc.ncbi.nlm.nih.gov/articles/PMC6352814/,1,Academic (PubMed/PMC/preprint),PMC Dublin homeless mortality cohort study 2011-2015,no
156,RES-0064,https://pressprogress.ca/justin-trudeau-is-blaming-conservatives-for-cuts-to-housing-those-cuts-actually-began-under-the-liberals/,1,Other (pressprogress.ca),Prof J Davis Hulchanski University of Toronto; multiple primary sources,no
157,RES-0065,https://psychiatryonline.org/doi/10.1176/appi.ps.201500002,1,Other (psychiatryonline.org),Poremski et al Psychiatric Services 2016 full text retrieved directly,no
158,RES-0066,https://psychiatryonline.org/doi/10.1176/appi.ps.202000029,1,Other (psychiatryonline.org),Latimer et al 2020 Psychiatric Services Table 2 plus EENet CAMH evidence summary corroboration,no
159,RES-0067,https://pub-london.escribemeetings.com/filestream.ashx?DocumentId=34005,1,Other (pub-london.escribemeetings.com),ISAC — Year-by-Year Ontario Works Rate Change Archive (2004-2016),yes
160,RES-0069,https://pubmed.ncbi.nlm.nih.gov/10791509/,1,Academic (PubMed/PMC/preprint),"Hwang (2000) — Mortality Among Men Using Homeless Shelters in Toronto, Ontario",yes
161,RES-0070,https://raw.githubusercontent.com/rfordatascience/tidytuesday/main/data/2020/2020-12-01/shelters.csv,1,Other (raw.githubusercontent.com),City of Toronto Open Data via rfordatascience/tidytuesday GitHub mirror (TidyTuesday 2020-12-01),no
162,RES-0071,https://secure.toronto.ca/council/agenda-item.do?item=2023.BA45.8,1,City of Toronto (primary govt),City of Toronto Chief Procurement Officer report Council Item 2023.BA45.8,no
163,RES-0072,https://secure.toronto.ca/council/agenda-item.do?item=2023.EC7.7,1,City of Toronto (primary govt),Homelessness Services Capital Infrastructure Strategy — Council Item EC7.7,yes
164,RES-0073,https://secure.toronto.ca/council/agenda-item.do?item=2023.MM7.28,1,City of Toronto (primary govt),City Council decision 2023.MM7.28 and ALFDC program materials,no
165,RES-0077,https://secure.toronto.ca/council/agenda-item.do?item=2024.GG12.14,1,City of Toronto (primary govt),City of Toronto Council Item 2024.GG12.14,no
166,RES-0078,https://secure.toronto.ca/council/agenda-item.do?item=2024.MM20.38,1,City of Toronto (primary govt),"Mayor Chow Letter to Province — COHB Restoration Request (Sept 26, 2025)",yes
167,RES-0079,https://secure.toronto.ca/council/agenda-item.do?item=2025.EC22.3,1,City of Toronto (primary govt),City of Toronto — Council Agenda Item 2025.EC22.3,yes
168,RES-0083,https://secure.toronto.ca/council/agenda-item.do?item=2025.PH25.4,1,City of Toronto (primary govt),City Council decision 2025.PH25.4,no
169,RES-0084,https://secure.toronto.ca/council/agenda-item.do?item=2026.TTC12.1,1,City of Toronto (primary govt),TTC 2026 Operating Budget — Agenda Item 2026.TTC12.1,yes
170,RES-0086,https://secure.toronto.ca/council/report.do?meeting=2026.PH29&type=agenda,1,City of Toronto (primary govt),Official Planning and Housing Committee agenda April 14 2026; CreateTO board bio; Council Item 2024.,no
171,RES-0087,https://springmag.ca/the-system-fails-the-unhoused-a-voice-from-the-frontlines,1,Other (springmag.ca),Spring Magazine December 22 2022,no
172,RES-0088,https://taeh.ca,1,Other (taeh.ca),TAEH website and strategic plan; Built for Zero Canada scorecard — confirmed multiple Task G submiss,no
173,RES-0089,https://taeh.ca/,1,Other (taeh.ca),taeh.ca and Toronto Foundation profile,no
174,RES-0091,https://theguardian.com (need specific URL),1,Other (theguardian.com (need specific url)),DeepSeek-Expert citing The Guardian 2019,no
175,RES-0093,https://toronto.ca/community-people/community-partners/emergency-shelter-operators/homelessness-shelter-operator-expression-of-interest,1,City of Toronto (primary govt),Homelessness Shelter Operator Expression of Interest City of Toronto,no
176,RES-0095,https://toronto.citynews.ca/2024/12/16/mayor-olivia-chow-removes-councillor-brad-bradford-from-housing-committee,1,Other (toronto.citynews.ca),CityNews — Mayor Chow Removes Bradford from Housing Committee (December 2024),yes
177,RES-0096,https://torontohousing.ca/sites/default/files/2025-12/item_7a_-_2025-76_-_toronto_community_housing_safety_and_wellbeing_strategy_2026-2030.pdf,1,Other (torontohousing.ca),TCHC 2026-2030 Safety and Wellbeing Strategy,yes
178,RES-0100,https://tribunalwatch.ca/tag/ltb/,1,Tribunal Watch / Tribunals Ontario,Tribunal Watch Ontario direct statement June 10 2026,no
179,RES-0101,https://unityhealth.to/2023/07/homelessness-cold-weather-ed/,1,Other (unityhealth.to),Unity Health Toronto and Institute for Clinical Evaluative Sciences 2023 study cited in AG audit,no
180,RES-0102,https://utppublishing.com/doi/full/10.3138/CPP.39.4.541,1,Academic (journal),"O'Grady, Gaetz & Buccieri (2013) — Tickets... and More Tickets",yes
181,RES-0103,https://www.abc13.com/post/increased-number-citations-written-homeless-houston-new-ordinance/18149138/,1,Other (www.abc13.com),Houston Public Media July 16 2025; ABC13; Defender Network,no
182,RES-0104,https://www.acto.ca,1,Other (www.acto.ca),ISAC/ACTO November 2025 submission,no
183,RES-0105,https://www.allianceon.org/sites/default/files/CHC_ED_Costs_Averted_Feb_9.pdf,1,Other (www.allianceon.org),Alliance for Healthier Communities — ED Costs Averted Report,yes
184,RES-0108,https://www.auditor.on.ca/en/content/annualreports/arreports/en21/AR_Homelessness_en21.pdf,1,Other (www.auditor.on.ca),Ontario Auditor General 2021 — Value-for-Money Audit: Homelessness,yes
185,RES-0109,https://www.auditor.on.ca/en/content/annualreports/arreports/en23/1-07FU_homelessness_en23.pdf,1,Other (www.auditor.on.ca),Ontario Auditor General 2023 — Follow-up on Homelessness Audit,yes
186,RES-0110,https://www.bitfocus.com/blog/leveraging-your-hmis-to-support-trauma-informed-care,1,Other (www.bitfocus.com),Dinnen et al 2014 cited in Bitfocus HMIS trauma-informed care paper,no
187,RES-0111,https://www.bmj.com/content/339/bmj.b4036,1,Other (www.bmj.com),Hwang et al. 2009 BMJ b4036,no
188,RES-0112,https://www.bu.edu/sph/news/articles/2024/extreme-heat-may-substantially-raise-mortality-risk-for-people-experiencing-homelessness/,1,Other (www.bu.edu),Lin et al. (2024) — Daily Heat and Mortality Among People Experiencing Homelessness,yes
189,RES-0113,https://www.budget.gc.ca/2021/report-rapport/p2-en.html,1,Other (www.budget.gc.ca),Federal Budget 2021 Chapter 5; confirmed in Hansard and CMHC transition documents,no
190,RES-0115,https://www.calgaryhomeless.com/wp-content/uploads/2026/03/PiT-Report_2025.F2.pdf,1,Other (www.calgaryhomeless.com),Calgary Homeless Foundation — 2025 Point-in-Time Count,yes
191,RES-0116,https://www.cambridge.org/core/journals/canadian-journal-of-law-and-society-la-revue-canadienne-droit-et-societe/article/vulnerability-of-asylum-seekers-and-undocumented-migrants-in-toronto/4E68F42076F04F4778F0F92587E6A9C9,1,Other (www.cambridge.org),Cambridge University Press Vulnerability of Asylum Seekers and Undocumented Migrants in Toronto 2024,no
192,RES-0117,https://www.cbc.ca/news/canada/calgary/homeless-medicine-hat-point-in-time-count-1.6600717,1,News (CBC),CBC News — Medicine Hat Functional Zero Reversal (October 2022),yes
193,RES-0119,https://www.cbc.ca/news/canada/ottawa/ottawa-questions-homelessness-funding-1.6823740,1,News (CBC),"CBC News — Ottawa HPP Allocation Shortfall (April 27, 2023)",yes
194,RES-0120,https://www.cbc.ca/news/canada/toronto/,1,News (CBC),Progress Toronto; CBC Toronto July 24 2025,no
195,RES-0121,https://www.cbc.ca/news/canada/toronto/encampment-clearing-investigation-toronto-ombudsman-1.6789619,1,News (CBC),City of Toronto data cited in CBC News March 2023,no
196,RES-0122,https://www.cbc.ca/news/canada/toronto/incarceration-to-encampment-john-howard-society-of-ontario-report-1.7585965,1,News (CBC),"John Howard Society of Ontario ""From Incarceration to Encampment"" (July 2025); CBC News July 17 2025",no
197,RES-0123,https://www.cbc.ca/news/canada/toronto/number-of-encampments-decreased-past-year-homelessness-9.7182350,1,News (CBC),"CBC News — Toronto Encampment Decline Coverage (April 30, 2026 and January 14, 2026)",yes
198,RES-0125,https://www.cbc.ca/news/canada/toronto/ontario-greenbelt-review-update-9.7148802,1,News (CBC),Globalnews/CBC — RCMP Greenbelt Investigation Status (2026),yes
199,RES-0126,https://www.cbc.ca/news/canada/toronto/ontario-temp-foreign-workers-agencies-1.6213249,1,News (CBC),CBC News 2021-2023 reporting on Ontario Ministry of Labour enforcement,no
200,RES-0127,https://www.cbc.ca/news/canada/toronto/refugee-housing-shelter-asylum-seekers-work-permits-1.6911571,1,News (CBC),CBC News July 2023,no
201,RES-0129,https://www.cbc.ca/news/canada/toronto/toronto-city-council-meeting-nov-8-1.7020639,1,News (CBC),CBC News November 8 2023,no
202,RES-0130,https://www.cbc.ca/news/canada/toronto/toronto-increase-rent-bank-funding-mayor-9.7044571,1,News (CBC),CBC News January 14 2026 (Mayor Chow announcement),no
203,RES-0132,https://www.change.org/p/audit-toronto-shelter-and-support-services-tsss,1,Other (www.change.org),Change.org petition Audit Toronto Shelter and Support Services TSSS,no
204,RES-0133,https://www.charityintelligence.ca/,1,Other (www.charityintelligence.ca),Charity Intelligence Canada via CRA T3010 (CRA BN 108229865RR0001),no
205,RES-0134,https://www.charityintelligence.ca/charity-details/215-fred-victor-centre,1,Other (www.charityintelligence.ca),Fred Victor Centre — T3010 (FY March 2025),yes
206,RES-0135,https://www.charityintelligence.ca/charity-details/218-homes-first-society,1,Other (www.charityintelligence.ca),Homes First Society — T3010 (FY December 2023),yes
207,RES-0136,https://www.charityintelligence.ca/charity-details/219-dixon-hall-neighbourhood-services,1,Other (www.charityintelligence.ca),Dixon Hall Neighbourhood Services — T3010 (FY March 2024),yes
208,RES-0137,https://www.charityintelligence.ca/charity-details/220-covenant-house-toronto,1,Other (www.charityintelligence.ca),Covenant House Toronto — T3010 (FY June 2024),yes
209,RES-0138,https://www.charityintelligence.ca/charity-details/29-covenant-house-toronto,1,Other (www.charityintelligence.ca),CRA T3010 annual information return via Charity Intelligence Canada,no
210,RES-0139,https://www.charityintelligence.ca/charity-details/32-fred-victor,1,Other (www.charityintelligence.ca),CRA T3010 annual information return via Charity Intelligence Canada,no
211,RES-0140,https://www.charityintelligence.ca/charity-details/52-homes-first-society,1,Other (www.charityintelligence.ca),CRA T3010 annual information return via Charity Intelligence Canada,no
212,RES-0141,https://www.chrc-ccdp.gc.ca/resources/newsroom/two-years-after-landmark-report-renewed-action-needed-homelessness-continues,1,Other (www.chrc-ccdp.gc.ca),Federal Housing Advocate March 3 2026,no
213,RES-0143,https://www.cihi.ca/en/indicators/cost-of-a-standard-hospital-stay-cshs,1,Other (www.cihi.ca),CIHI Cost of Standard Hospital Stay 2022-23,no
214,RES-0145,https://www.cmajopen.ca/content/5/3/E576,1,Other (www.cmajopen.ca),Latimer et al 2017 CMAJ Open plus independent corroboration from PubMed PMC ResearchGate CBC News Mc,no
215,RES-0146,https://www.cmajopen.ca/content/cmajo/5/3/E576.full.pdf,1,Other (www.cmajopen.ca),Latimer et al. 2017 CMAJ Open,no
216,RES-0148,https://www.communityland.ca/2023-census/,1,Sector nonprofit/network,2023 Census of Community Land Trusts in Canada,yes
217,RES-0149,https://www.cp24.com/local/toronto/2025/06/04/toronto-hit-with-50m-class-action-lawsuit-over-decision-to-deny-refugees-shelter-beds/,1,News (other outlet),CP24 June 4 2025,no
218,RES-0150,https://www.dhhs.nh.gov/sites/g/files/ehbemt476/files/documents2/clm-ips-fidelity-report-sfy24-final-amended.pdf,1,Other (www.dhhs.nh.gov),NH DHHS IPS Fidelity Report / MDRC — Individual Placement and Support in Practice,yes
219,RES-0151,https://www.fraserinstitute.org/commentary/toronto-taxpayers-should-demand-better-citys-homelessness-services,1,Other (www.fraserinstitute.org),"Fraser Institute commentary ""Toronto taxpayers should demand better of citys homelessness services"" ",no
220,RES-0152,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.763396/full,1,Academic (journal),STAR (Supporting Transitions and Recovery) Centre — Quasi-Experimental Evaluation,yes
221,RES-0153,https://www.gg.ca/en/honours/recipients/146-4673,1,Other (www.gg.ca),York University Faculty of Education profile; Governor General of Canada honours page,no
222,RES-0154,https://www.globenewswire.com/news-release/2025/09/04/3144858/0/en/OPSEU-SEFPO-and-CUPE-Ontario-community-and-social-services-workers-launch-Worth-Fighting-For-coordinated-bargaining-campaign-at-rally-in-Hamilton.html,1,Other (www.globenewswire.com),OPSEU SEFPO and CUPE Ontario press releases via GlobeNewswire September 2025 and May 2026,no
223,RES-0155,https://www.globenewswire.com/news-release/2026/05/25/3300591/0/en/We-re-telling-our-employers-you-re-either-with-us-or-you-re-against-the-people-who-need-us-Province-wide-strike-in-community-health-and-social-services-expands.html,1,Other (www.globenewswire.com),OPSEU SEFPO May 25 2026 press release citing FAO,no
224,RES-0157,https://www.homelesshub.ca/resource/hospital-costs-and-length-stay-among-homeless-patients-admitted-medical-surgical-and,1,Sector nonprofit/network,"Weaver, Hoch, Hwang et al. — Hospital Cost Differential (Toronto)",yes
225,RES-0158,https://www.houstonpublicmedia.org/articles/news/city-of-houston/2025/07/16/526508/houston-city-council-effectively-bans-homeless-people-from-downtown-and-east-downtown-sidewalks/,1,Other (www.houstonpublicmedia.org),Houston Public Media July 16 2025,no
226,RES-0159,https://www.jobbank.gc.ca/marketreport/wages-occupation/227148/geo9219,1,Other (www.jobbank.gc.ca),Government of Canada Job Bank wage report,no
227,RES-0160,https://www.lawtimesnews.com/practice-areas/criminal/about-one-in-10-of-homeless-ontarios-homeless-population-went-from-jail-to-the-streets/392899,1,News (other outlet),"John Howard Society of Ontario ""From Incarceration to Encampment"" July 2025; John Howard recommendat",no
228,RES-0161,https://www.medrxiv.org/content/10.1101/2024.05.07.24306964.full.pdf,1,Academic (PubMed/PMC/preprint),"""Nowhere to Go"" — Mixed-Methods Study on Shelter Service Restriction",yes
229,RES-0162,https://www.medscape.com/viewarticle/ontario-2026-healthcare-budget-focuses-primary-care-and-home-2026a1000c3n,1,Other (www.medscape.com),"2026 Ontario Budget — Total Healthcare Allocation and ""Roadmap to Wellness""",yes
230,RES-0163,https://www.metisnation.org/programs-and-services/housing-infrastructure/,1,Other (www.metisnation.org),Metis Nation of Ontario official program pages,no
231,RES-0164,https://www.msdsb.net/images/ADMIN/correspondence/2020/COHB_Program_Guidelines_Final.pdf,1,Other (www.msdsb.net),Multiple primary sources including official COHB Program Guidelines and City of Toronto COHB page,no
232,RES-0165,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11936304/,1,Academic (PubMed/PMC/preprint),US cost analysis studies published via peer-reviewed journals not Toronto or Ontario specific,no
233,RES-0166,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5480200/,1,Academic (PubMed/PMC/preprint),Helsinki Shelter Users — Dual Diagnosis and Daytime Healthcare Utilization,yes
234,RES-0167,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7424067/,1,Academic (PubMed/PMC/preprint),STAR Centre — Program Description,yes
235,RES-0168,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8061292/,1,Academic (PubMed/PMC/preprint),Ontario Psychiatric Discharge Readmission Cohort Study,yes
236,RES-0169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8815224/,1,Academic (PubMed/PMC/preprint),SHARPS Study Team BMC Public Health 2022 PMC8815224,no
237,RES-0170,https://www.nihanglaw.ca/bill-c12-ineligibility-letter-canada-ircc-asylum-letter/,1,Other (www.nihanglaw.ca),Government of Canada temporary public policy cited by multiple immigration law sources,no
238,RES-0171,https://www.nlstoronto.org/uploads/4/4/3/9/4439251/social_assistance_rates_updates.pdf,1,Other (www.nlstoronto.org),ISAC — Social Assistance Rates Fact Sheet (September 2013),yes
239,RES-0174,https://www.ola.org/en/legislative-business/house-documents/parliament-44/session-1/2025-10-23/hansard,1,Other (www.ola.org),"OLA Hansard Oct 23, 2025 — vote record confirmed Kimi audit June 30 2026",no
240,RES-0175,https://www.ombudsmantoronto.ca/investigation-report/an-investigation-into-the-citys-decision-to-stop-allowing-refugee-claimants-into-base-shelter-system-beds/,1,City of Toronto (primary govt),Ombudsman Toronto investigation report 2024; Christie Refugee Welcome Centre summary,no
241,RES-0176,https://www.ombudsmantoronto.ca/investigative-report/an-investigation-into-the-citys-decision-to-stop-allowing-refugee-claimants-into-base-shelter-system-beds/,1,City of Toronto (primary govt),"Ombudsman Toronto — Investigation into Refugee Claimant Shelter Bed Access (Dec 12, 2024)",yes
242,RES-0177,https://www.ombudsmantoronto.ca/news/,1,City of Toronto (primary govt),Ombudsman Toronto news release,no
243,RES-0178,https://www.ombudsmantoronto.ca/wp-content/uploads/2024/12/An-Investigation-Into-the-Citys-Decision-to-Stop-Allowing-Refugee-Claimants-into-Base-Shelter-System-Beds.pdf,1,City of Toronto (primary govt),Ombudsman Toronto investigation report December 2024,no
244,RES-0179,https://www.ontario.ca/document/2023-ontario-budget,1,Government of Ontario (primary govt),Ontario Budget 2023 — HPP baseline ~$493M from Budget 2022; $202M increase Budget 2023 = ~$695M roun,no
245,RES-0180,https://www.ontario.ca/document/mccss-service-objectives-community-services/services-delivered-vaw-emergency-shelter-and,1,Government of Ontario (primary govt),Claude Sonnet Task E citing MCCSS service objectives URL,no
246,RES-0181,https://www.ontario.ca/document/ontario-works-policy-directives/61-calculating-assistance,1,Government of Ontario (primary govt),Ontario Works Policy Directive 6.1 — Calculating Assistance,yes
247,RES-0182,https://www.ontario.ca/document/ontario-works-policy-directives/63-shelter,1,Government of Ontario (primary govt),Government of Ontario Ontario Works Policy Directives official site,no
248,RES-0183,https://www.ontario.ca/document/ontarios-third-action-plan-under-national-housing-strategy-2025-2028/nhs-programs,1,Government of Ontario (primary govt),Ontario Third Action Plan under National Housing Strategy 2025-2028,no
249,RES-0184,https://www.ontario.ca/laws/regulation/980134,1,Government of Ontario (primary govt),Ontario Regulation 134/98 — Ontario Works Act,yes
250,RES-0185,https://feedontario.ca/hunger-report-2025/,1,Sector nonprofit/network,"Feed Ontario Hunger Report 2025 - RESOLVED July 2026, see CL-471, record food bank use + 66% housing cost burden",no
251,RES-0186,https://www.ontario.ca/laws/statute/90e06,1,Government of Ontario (primary govt),Fixed election date legislation Ontario; Feb 27 2025 election + 4 years = ~April 2029 (fixed date fi,no
252,RES-0187,https://www.ontario.ca/laws/statute/s25005,1,Government of Ontario (primary govt),"Safer Municipalities Act, 2025 — S.O. 2025, c.5",yes
253,RES-0189,https://www.ontario.ca/page/ontario-disability-support-program-odsp-rates,1,Government of Ontario (primary govt),Grok Task E; DeepSeek-WA Task E citing Ontario.ca ODSP rates,no
254,RES-0190,https://www.ontario.ca/page/ontario-works-rates,1,Government of Ontario (primary govt),DeepSeek-WA Task E citing Ontario OW policy directives,no
255,RES-0191,https://www.ontario.ca/page/published-plans-and-annual-reports-2024-2025-ministry-children-community-and-social-services,1,Government of Ontario (primary govt),Ontario Ministry of Children Community and Social Services published plans 2024-25,no
256,RES-0192,https://www.ontariobigcitymayors.ca/ontarios-big-city-mayors-statement-on-the-association-of-municipalities-of-ontarios-amo-updated-report-on-homelessness-in-ontario/,1,Other (www.ontariobigcitymayors.ca),Ontario Big City Mayors statement January 2026,no
257,RES-0194,https://www.pbo-dpb.ca/en/publications/RP-2425-005-S--federal-spending-address-homelessness--depenses-federales-matiere-itinerance,1,Government of Canada (primary govt),Parliamentary Budget Officer — Federal Spending to Address Homelessness (May 2024),yes
258,RES-0196,https://www.policyalternatives.ca/news-research/successfully-housing-the-homeless-a-finnish-perspective/,1,Other (www.policyalternatives.ca),Multiple Sources — Helsinki 70% Land Ownership / 25% Social Housing Mandate,yes
259,RES-0197,https://www.researchgate.net/publication/232522168_A_fidelity_scale_for_the_Individual_Placement_and_Support_model_of_supported_employment,1,Other (www.researchgate.net),Bond Becker Drake IPS fidelity scale review and related systematic reviews,no
260,RES-0198,https://www.researchgate.net/publication/398698250,1,Other (www.researchgate.net),ResearchGate/PMC Peer Navigator Role and Contribution to Mental Health Service Delivery — Collective,no
261,RES-0199,https://www.richmondhill.ca/en/learn-more/about-bill-23-the-more-homes-built-faster-act.aspx,1,Other (www.richmondhill.ca),"City of Richmond Hill Staff Report SRPI.23.033 ""About Bill 23 The More Homes Built Faster Act"" Jan 3",no
262,RES-0200,https://www.socialplanningtoronto.org/2026_police_budget,1,Other (www.socialplanningtoronto.org),Social Planning Toronto — 2026 Police Budget Analysis,yes
263,RES-0202,https://www.theglobeandmail.com/canada/article-city-of-toronto-police-face-lawsuit-over-removal-of-homeless-camps/,1,Other (www.theglobeandmail.com),Globe and Mail October 2021,no
264,RES-0203,https://www.theglobeandmail.com/canada/article-embargo-survey-finds-two-of-five-people-without-a-home-say-jail-time/,1,Other (www.theglobeandmail.com),"John Howard Society of Ontario ""Locked Up and Locked Out"" 2024",no
265,RES-0204,https://www.theglobeandmail.com/canada/article-inmates-released-homeless-rates/,1,Other (www.theglobeandmail.com),Globe and Mail investigation November 2023; data via freedom of information requests,no
266,RES-0205,https://www.theglobeandmail.com/canada/article-life-in-the-shadows-inside-the-world-of-torontos-undocumented-migrants/,1,Other (www.theglobeandmail.com),Globe and Mail investigation 2025 citing federal government estimates,no
267,RES-0206,https://www.theglobeandmail.com/politics/article-scores-of-asylum-claimants-warned-they-may-face-deportation-after/,1,Other (www.theglobeandmail.com),Globe and Mail April 2026 and multiple immigration law practitioner sources cross-checked,no
268,RES-0207,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30055-4/fulltext,1,Other (www.thelancet.com),Lancet Public Health systematic review search snippet - full article bot-blocked on direct fetch,no
269,RES-0209,https://www.thetrillium.ca/news/social-services-and-society/number-of-homeless-ow-odsp-recipients-has-almost-doubled-in-two-years-government-data-9577826,1,News (other outlet),"The Trillium — ""Number of Homeless OW, ODSP Recipients Has Almost Doubled"" (Sept 2024)",yes
270,RES-0210,https://www.toronto.ca/,1,City of Toronto (primary govt),Meta Task G citing Mayor's 2026 budget release and Toronto.ca Rent Bank page,no
271,RES-0211,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/city-managers-office/intergovernmental-affairs/canada-community-building-fund/housing-needs-assessment/,1,City of Toronto (primary govt),City of Toronto Housing Needs Assessment October 2025,no
272,RES-0214,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/2025-2030-strategic-plan-to-address-homelessness/,1,City of Toronto (primary govt),Meta Task G citing City of Toronto Strategic Plan webpage modified March 4 2026,no
273,RES-0218,https://www.toronto.ca/city-government/data-research-maps/toronto-housing-data-hub/housing-data-hub-definitions/,1,City of Toronto (primary govt),City of Toronto Housing Data Hub Definitions page,no
274,RES-0219,https://www.toronto.ca/community-people/community-partners/emergency-shelter-operators/bulletins-directives-funding-submissions-and-shelter-standards/,1,City of Toronto (primary govt),City of Toronto TSSS Bulletins Directives and Funding Submissions page,no
275,RES-0220,https://www.toronto.ca/community-people/get-involved/volunteer-with-the-city/street-needs-assessment/,1,City of Toronto (primary govt),City of Toronto official SNA program page,no
276,RES-0221,https://www.toronto.ca/community-people/health-wellness-care/health-inspections-monitoring/monitoring-deaths-of-homeless-people/,1,City of Toronto (primary govt),Toronto Public Health Deaths of People Experiencing Homelessness dashboard,no
277,RES-0222,https://www.toronto.ca/community-people/housing-shelter/access-community-housing/rent-geared-to-income-subsidy/canada-ontario-housing-benefit/,1,City of Toronto (primary govt),City of Toronto COHB program page,no
278,RES-0224,https://www.toronto.ca/community-people/housing-shelter/homeless-help/about-torontos-shelter-system/winter-services-plan-for-people-experiencing-homelessness/,1,City of Toronto (primary govt),City of Toronto Winter Services Plan retrospective page April 2026,no
279,RES-0225,https://www.toronto.ca/community-people/housing-shelter/homeless-help/encampment-outreach-response/,1,City of Toronto (primary govt),City of Toronto Encampment Outreach and Response page and TFS 2026 Budget Notes,no
280,RES-0227,https://www.toronto.ca/legdocs/mmis/2023/cc/bgrd/backgroundfile-230130.pdf,1,City of Toronto (primary govt),City of Toronto Staff Report to Council — Bill 23 Impact Estimate (November 2022),yes
281,RES-0228,https://www.toronto.ca/legdocs/mmis/2023/cc/bgrd/backgroundfile-235280.pdf,1,City of Toronto (primary govt),Toronto Ombudsman 2023 — Encampment Investigation,yes
282,RES-0229,https://www.toronto.ca/legdocs/mmis/2023/ph/bgrd/backgroundfile-240848.pdf,1,City of Toronto (primary govt),City of Toronto Council Report — Rapid Housing Initiative Phase 3 Outcomes (Nov 2023),yes
283,RES-0231,https://www.toronto.ca/legdocs/mmis/2024/ec/bgrd/backgroundfile-245818.pdf,1,City of Toronto (primary govt),City of Toronto encampment strategy report backgroundfile-245818,no
284,RES-0232,https://www.toronto.ca/legdocs/mmis/2024/ex/bgrd/backgroundfile-246468.pdf,1,City of Toronto (primary govt),City of Toronto HSCIS research (documented in staff reports),no
285,RES-0237,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-252532.pdf,1,City of Toronto (primary govt),TPL 2025 Budget Notes,yes
286,RES-0238,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-252540.pdf,1,City of Toronto (primary govt),"Parks, Forestry and Recreation 2025 Budget Notes",yes
287,RES-0240,https://www.toronto.ca/legdocs/mmis/2025/ph/bgrd/backgroundfile-257007.pdf,1,City of Toronto (primary govt),Homelessness Services Capital Infrastructure Strategy — Council Item EC7.7,yes
288,RES-0241,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261037.pdf,1,City of Toronto (primary govt),2026 Toronto Paramedic Services Budget Notes backgroundfile-261037,no
289,RES-0243,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261647.pdf,1,City of Toronto (primary govt),TTC 2026 Budget Presentation — Key Operating Investments 2023-2026,yes
290,RES-0245,https://www.toronto.ca/news/city-of-toronto-releases-details-of-2025-2026-winter-services-plan-for-people-experiencing-homelessness/,1,City of Toronto (primary govt),City of Toronto news release on 2025/2026 Winter Services Plan,no
291,RES-0246,https://www.toronto.ca/news/city-of-toronto-releases-findings-of-2024-street-needs-assessment-homelessness-survey/,1,City of Toronto (primary govt),City of Toronto press release July 7 2025,no
292,RES-0249,https://www.toronto.ca/wp-content/uploads/2024/04/9779-2024-Public-Book-TSSS-V1.pdf,1,City of Toronto (primary govt),2024 Program Summary Toronto Shelter and Support Services,no
