claim_id,short_claim,canonical_metric,value,unit,time_frame,fact_or_inference,confidence_tag,primary_source,source_url,verification_path,notes
CL-142,OW tent dwellers zero shelter allowance,OW recipients in tents get no shelter allowance because they cannot prove rent costs,No shelter allowance for people who cannot prove payment of rent,policy,ongoing,FACT,VERIFIED,DeepSeek-WA Task E citing Ontario OW policy directives,https://www.ontario.ca/page/ontario-works-rates,Unique finding from DeepSeek-WA — high importance,OW: shelter component max $390/month for single — but ONLY if paying rent
CL-143,ODSP inflation-indexed rate 2025,ODSP single adult rate indexed to inflation — reached $1408/month by July 2025,$1169/month (2018) → $1408/month (July 2025),CAD/month,July 2025,FACT,VERIFIED,Grok Task E; DeepSeek-WA Task E citing Ontario.ca ODSP rates,https://www.ontario.ca/page/ontario-disability-support-program-odsp-rates,Confirmed multiple Task E models,Contrasts with OW which is frozen — creates two-tier system
CL-144,HelpSeeker $11B over 10 years,HelpSeeker models $11B investment over 10 years required to end chronic homelessness in Ontario,$11 billion over 10 years,CAD,2025,FACT,VERIFIED,Donaldson et al. (2025) Municipalities Under Pressure,https://www.helpseeker.org/reports/municipalities-under-pressure-the-human-and-financial-cost-of-ontarios-homelessness-crisis,Confirmed multiple Task E models,Current provincial HPP: $700M/year × 10 = $7B total vs $11B needed
CL-145,Ontario total housing/homelessness spending 2024,$4.1 billion total Ontario housing and homelessness spending in 2024,4.1,CAD Billions,2024,FACT,VERIFIED,"What We Heard: 2025-2030 Strategic Plan Stakeholder Engagement Report, SN Management for TSSS, April 2025, Appendix A Figure 2 p.58",https://www.toronto.ca/wp-content/uploads/2025/04/979d-Strategic-Plan-Stakeholder-Engagement-Report-FULL.pdf,Multiple Task E models confirm,Municipalities bear 65% of this cost — far exceeds provincial $700M
CL-146,Safer Municipalities Act tent as public place,Schedule 1 SMA explicitly defines tent as public place for enforcement purposes,Tent/structure used as dwelling = 'public place' under the Act,legislative text,June 5 2025,FACT,VERIFIED,S.O. 2025 c.5 Schedule 1; Meta/Gemini Task E citing e-Laws,https://www.ontario.ca/laws/statute/s25005,Confirmed Meta/Gemini/Qwen Task E,Officers can arrest without warrant; seize and destroy substances
CL-147,HART Hubs no right to stay,HART Hub residents have no legal right to remain; housing is stated goal not contractual obligation,No right to stay; no permanent housing guarantee in contracts,policy gap,2025-2026,FACT,VERIFIED,Multiple Task E models; government reference document Jan 2025,https://www.ontario.ca/page/homelessness-and-addiction-recovery-treatment-hubs-hart-hubs-reference-document-january-2025,Confirmed by 6 of 8 Task E models,HART Hub Trap: treatment without housing exit = revolving door
CL-148,HART Hub 100000 interactions,HART Hubs: 100000+ client interactions as of April 2026; 250+ placed in supportive housing,100000+ interactions; 250+ housed,outcomes,April 2026,FACT,VERIFY,"Ontario government self-report (no independent evaluation) — treat as government claim, not verified outcome",,Government self-reported — no independent verification,250 housed from ~$550M investment = about $2.2M per housing placement at full cost
CL-149,HART Hub overdose call increase (corrected to ~119%),Suspected opioid overdose calls increased approximately 119 percent after supervised consumption site closures (corrected from an arithmetic error that stated 82 percent),"160 calls/month (April 2025) to 350 calls/month (January 2026); approximately 119% increase (corrected from 82%, arithmetic error caught in external review June 30 2026)",opioid overdose calls/month,April 2025 to January 2026,FACT,VERIFIED,CBC News March 25 2026 citing ambulance call data,https://www.cbc.ca/news/canada/toronto/ontario-defends-supervised-consumption-site-closures-9.7142185,Confirmed primary data — reversal of downward trend from 2023-early 2025,Government counter-claims 41% decrease in coroner deaths in specific areas — contested data
CL-150,HART Hubs first 9 April 2025,First 9 HART Hubs opened April 1 2025 — all converted from supervised drug consumption sites,9 hubs April 1 2025,date,April 1 2025,FACT,VERIFIED,Ontario government announcement April 1 2025; multiple Task E models,https://michaelparsampp.ca/ontario-opens-nine-homelessness-and-addiction-recovery-treatment-hubs/,Confirmed Claude Sonnet/DeepSeek-WA/Kimi/Qwen Task E,Four times more funding than their previous supervised consumption site budgets
CL-151,Supervised consumption site closure context,Ontario forced first 9 supervised consumption sites to close April 1 2025 (near schools/daycares); second wave of 7 sites announced March 2026,9 closures April 2025; 7 more March 2026,closures,April 2025 and March 2026,FACT,VERIFIED,CBC News March 25 2026; The Conversation March 30 2026,https://www.cbc.ca/news/canada/toronto/ontario-defends-supervised-consumption-site-closures-9.7142185,Confirmed multiple Task E models and search,HART Hubs received 4x more funding than their previous supervised consumption site budgets
CL-152,Opioid death trend 2025,Ontario opioid toxicity death rate 2025 context — broad trend was improving before HART closures,"2021 peak: 19.4 deaths per 100,000; 2025: 8.5 deaths per 100,000 (half the pandemic high)",deaths per 100,000,FACT,VERIFIED,VERIFIED,CBC News March 25 2026 citing Ontario Chief Coroner data,"https://www.cbc.ca/news/canada/toronto/ontario-defends-supervised-consumption-site-closures-9.7142185,Province claims 41% decrease near closed sites — contested by paramedic call data showing 82% increase",Context: opioid deaths had been declining provincially before HART transition
CL-153,Toronto Paramedic Services 2026 projected calls,Toronto Paramedic Services 2026 projected emergency call volume,387065 calls projected for 2026,calls,2026,FACT,VERIFIED,2026 Toronto Paramedic Services Budget Notes backgroundfile-261037,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261037.pdf,URL confirmed June 2026,Community Paramedicine budget $13.5M; Emergency response service $48.9M
CL-154,Bill 28 Homelessness Ends with Housing Act 2025,"Bill 28 (Homelessness Ends with Housing Act, 2025) defeated by PC majority in late October/early November 2025 — Hansard Nov 20, 2025 refers in past tense; Chronicle Nov 7, 2025 reported defeat. Votes record: ola.org/en/legislative-business/bills/parliament-44/session-1/bill-28/votes","Defeated by PC majority: Ayes 40, Nays 63, all PC MPPs opposed — OLA Hansard Oct 23 2025",bill status,October-November 2025,FACT,VERIFIED,"OLA Hansard Oct 23, 2025 — vote record confirmed Kimi audit June 30 2026",https://www.ola.org/en/legislative-business/house-documents/parliament-44/session-1/2025-10-23/hansard,URL confirmed via search,Co-sponsors: Liberal MPP Lee Fairclough (Etobicoke-Lakeshore) + Green MPP Aislinn Clancy (Kitchener Centre); TAEH endorsed
CL-155,Northern Ontario homelessness surge,Known homelessness in Northern Ontario rose 204% since 2016 (1771 people in 2016 → 5377 in 2024),+204% since 2016; 5377 people in 2024,persons,2016-2024,FACT,VERIFIED,AMO/HelpSeeker 2025 report via CBC News June 2025,https://www.cbc.ca/news/canada/kitchener-waterloo/green-liberal-mpps-housing-first-private-members-bill-can-it-work-1.7548550,Multiple sources confirm Northern Ontario surge,From 2021 to 2025: Northern Ontario +117.5%; 2024 to 2025: +37.3%
CL-156,Dunn House supportive housing case study,Toronto's Dunn House supportive housing: $4000/month per resident; saved local hospitals $1.6M by reducing emergency visits,$4000/month per resident; $1.6M hospital savings,CAD,2025,FACT,VERIFY,Ontario Liberal Party press release citing Dunn House data,https://ontarioliberal.ca/homelessness-is-solvable-the-homelessness-ends-with-housing-act-calls-for-decisive-action/,Secondary source via Liberal press release — need Dunn House primary data,"$4K/month vs $49,640/year ($4,137/month) shelter cost = approximately same; hospital savings are the additionality"
CL-157,Indigenous chronic homelessness Northern communities,45% of people experiencing chronic homelessness in northern communities identify as Indigenous,45% in northern communities,percent,2024,FACT,VERIFIED,AMO/HelpSeeker 2025 via CBC News June 2025,https://www.cbc.ca/news/canada/kitchener-waterloo/green-liberal-mpps-housing-first-private-members-bill-can-it-work-1.7548550,Cross-confirms disproportionate Indigenous representation,Context: Indigenous people are 3% of Toronto population but 9% of shelter users and 31% outdoor homeless
CL-158,Strategic Plan extended to 2027,City of Toronto 2025-2030 Homelessness Strategic Plan release extended to 2027,Extended to 2027 per City webpage March 4 2026,status,March 2026,FACT,VERIFIED,Meta Task G citing City of Toronto Strategic Plan webpage modified March 4 2026,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/2025-2030-strategic-plan-to-address-homelessness/,URL confirmed via prior research,Previously slipped from 2025 to 2026; now extended to 2027
CL-159,What We Heard consultation stats,Stakeholder consultation stats from 2025-2030 Strategic Plan engagement report,6% said services better than 5 years ago; 66% said worse; 47% identified chronic homelessness reduction as top priority,percent,2025,FACT,VERIFIED,DeepSeek-WA Task G citing What We Heard Stakeholder Engagement Report,https://www.toronto.ca/wp-content/uploads/2025/04/979d-Strategic-Plan-Stakeholder-Engagement-Report-FULL.pdf,URL confirmed via prior research — April 2025 report,176 survey respondents; ~400 consultation participants
CL-160,HousingTO Progress Report URL 2025,HousingTO 2024-2025 Annual Progress Report confirmed URL,46% of targets approved; 632 completions 2024; not on track for 2030,document,October 2025,FACT,VERIFIED,HousingTO 2024-2025 Progress Report presented to Planning and Housing Committee October 30 2025,https://www.toronto.ca/wp-content/uploads/2025/11/978e-HousingTO2024-2025ProgressReport.pdf,URL confirmed Sonnet/Qwen/Grok Task G,City says 'not keeping pace' between approvals and completions
CL-161,Social housing waitlist 2025,Toronto/Ontario social housing RGI waitlist size,"104,239 = exactly Q1 2025 Total Active Applications per City quarterly reports; current (Q4 2025): 105,115",persons/years,2025,FACT,VERIFIED,Meta Task G citing City RENTCafé waitlist data; Sonnet Task G citing TSHC data,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/social-housing-waiting-list-reports/,"Resolved July 4 2026 directly against the City own Social Housing Waiting List Reports quarterly tables - the previously-unreconciled 100,500-104,239 range maps to Q4 2024 (100,361) through Q1 2025 (104,239, exact match)","Previously flagged as unreconcilable with the 92,965 figure. Now fully resolved: all figures are applications/household counts from the same City quarterly series, at different quarters. See MAIN_HMK_025 Part 6."
CL-162,HSCIS 7 confirmed site addresses,Seven confirmed HSCIS shelter sites with ward addresses capacity and operators,Dufferin St/Eglinton Ave W/Gerrard St E/Sheppard Ave W/Third St/Wilson Ave/Bloor St W,addresses,2024-2029,FACT,VERIFIED,Claude Sonnet Task G citing Planning and Housing Committee Decision Report PH23.7 July 2025,https://www.toronto.ca/legdocs/mmis/2025/ph/bgrd/backgroundfile-257007.pdf,URL cited by Sonnet — needs confirmation of backgroundfile number,First openings 2027; most 2028-30
CL-163,HSCIS $507.6M funded 2026,Of $674.5M HSCIS capital budget; $507.6M now in approved capital budget as of 2026,$507.6M approved; $166.9M remaining unfunded,CAD,2026,FACT,VERIFIED,"TSSS 2026 Program Summary: ""In total, $507.6 million of the $674.5 million budget and 13 of the 20 sites are funded.""",https://www.toronto.ca/wp-content/uploads/2026/03/8eba-2026-Public-Book-TSSS-V1.pdf,Source from 2026 capital budget — URL needs confirmation,Confirms most of the plan is now City-funded; federal not committed
CL-164,George Street Revitalization cost,GSR Phase 1 total cost including 70 supportive housing units,$556.4M Phase 1 + $54.4M supportive = $610.9M total,CAD,2025,FACT,VERIFIED,Meta Task G citing March 31 2025 Executive Committee report backgroundfile-254196,https://www.toronto.ca/legdocs/mmis/2025/ex/bgrd/backgroundfile-254196.pdf,Confirmed Meta/Sonnet/Qwen Task G,Phase 2 (south third) unfunded; 2029 occupancy target
CL-165,GSR program units,George Street Revitalization program: 180 transitional + 124 LTC + 70 supportive = 374 total,374 total persons housed when complete,persons,2029,FACT,VERIFIED,Meta Task G citing March 31 2025 Executive Committee report; Qwen Task G confirms same breakdown,https://www.toronto.ca/legdocs/mmis/2025/ex/bgrd/backgroundfile-254196.pdf,Confirmed Meta/Qwen/Grok Task G,LTC operated by Seniors Services and Long-Term Care (SSLTC) — NOT TSHC
CL-166,TCHC capital repair backlog 2026,TCHC (Toronto Community Housing Corporation) state-of-good-repair backlog,$2.229 billion (2026); growing to $4.8 billion by 2035,CAD,2026,FACT,VERIFIED,Meta Task G citing 2026 TCHC Budget Notes,N/A (TCHC budget document),Confirmed Meta/Gemini Task G,Note: TSHC manages operations but TCHC OWNS buildings and holds capital responsibility
CL-167,TSHC average wait 10 years,Average wait time for TSHC seniors RGI studio,10 years,years,2025,FACT,VERIFIED,Meta Task G citing City RENTCafé waitlist data; Qwen Task G confirming 7-12 year range,N/A,Confirmed Meta/Qwen Task G,104239 city-wide RGI applicants; occupancy 98-99%
CL-168,Rent Bank 2024 grants,Toronto Rent Bank households assisted in 2024,2350 grants,households,2024,FACT,VERIFIED,Meta Task G citing Mayor's 2026 budget release and Toronto.ca Rent Bank page,https://www.toronto.ca/,Confirmed Meta/Grok Task G; Qwen says 7200 (likely total since 2021 or different metric),2025 projection: 2800 grants
CL-169,EPIC tenancies 2024,Eviction Prevention in the Community (EPIC) program tenancies sustained in 2024,809 tenancies sustained in 2024; 1050 projected 2025,households,2024,FACT,VERIFIED,Meta Task G citing City budget notes; Qwen Task G confirms program details,https://www.toronto.ca/community-people/housing-shelter/rental-housing-rights-information/understand-prevent-evictions/eviction-prevention-in-the-community-epic/,URL confirmed Qwen Task G,EPIC is distinct from Rent Bank: case management not financial grants
CL-170,N4 trigger not implemented,Automatic N4 eviction notice trigger for Rent Bank outreach NOT yet implemented,Referral-based not automatic; LTB does not share N4 data with City in real time,status,2026,FACT,VERIFIED,City of Toronto Rent Bank / EPIC program documentation; LTB does not publicly share N4 filing data — confirmed by absence of city-wide N4 system as of 2026,https://www.toronto.ca/community-people/housing-shelter/rental-housing-rights-information/understand-prevent-evictions/eviction-prevention-in-the-community-epic/,Confirmed Meta/Qwen/Grok Task G — REJECT DeepSeek-Thinking's claim of 'full implementation',Jurisdictional data-sharing hurdles with Province prevent automation
CL-171,By-Name List October 2024 size,By-Name List active count October 2024,10331 people,persons,October 2024,FACT,VERIFIED,Meta Task G citing Shelter System Flow Dashboard data,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-system-flow-data/,URL confirmed multiple Task G models,18-20% of homeless not on BNL (sleeping exclusively outdoors)
CL-172,Built for Zero Veterans quality status,Toronto has achieved Quality By-Name List status for Veteran homelessness in Built for Zero Canada,Quality By-Name List status for Veterans achieved,status,2025-2026,FACT,VERIFIED,Qwen Task G citing Built for Zero Canada scorecard; Meta Task G confirms,N/A,Confirmed Qwen/Meta Task G,Functional Zero NOT achieved for any population including veterans
CL-173,Shelter sector dependency quote,What We Heard report key quote on shelter system culture,"Shelter sector policies, processes, approaches and/or shelter environments reinforce a dependency on shelters and are not sufficiently driving staff or clients to be outcome/housing focused",quote,April 2025,FACT,VERIFIED,Claude Sonnet Task G citing What We Heard Stakeholder Engagement Report,https://www.toronto.ca/wp-content/uploads/2025/04/979d-Strategic-Plan-Stakeholder-Engagement-Report-FULL.pdf,URL confirmed prior research,One of the most damning internal assessments in the library — from City's own consultation
CL-174,Ambulance 8.1x claim — UNVERIFIED SOURCE,DeepSeek-Expert-NoWeb cited backgroundfile-236945.pdf as source for 8.1x ambulance figure,UNVERIFIED — 404 error on cited document; no alternative primary source found,verification status,2026,NOTE,UNVERIFIED-REMOVED,Direct fetch of toronto.ca/legdocs/mmis/2023/hl/bgrd/backgroundfile-236945.pdf returned 404,N/A — document does not exist,Do not use 8.1x ambulance figure in campaign materials — unverifiable; use 33000+ mental health calls instead,
CL-175,Medicine Hat functional zero June 2021,Medicine Hat Alberta became first Canadian city to achieve functional zero chronic homelessness June 2021,3 or fewer chronically homeless for 3 consecutive months,milestone,June 2021,FACT,VERIFIED,CAEH announcement June 2021; Built for Zero Canada,https://caeh.ca/medicine-hat-functional-zero/,Multiple sources confirm June 2021 date,Status lasted ~5 months; 1323 people housed since 2009; 64% shelter use reduction
CL-176,Medicine Hat functional zero reversed 2022,Medicine Hat functional zero status lasted approximately 5 months before reversal,19 chronically homeless by September 2022 PIT count; broader count ~150 people,reversal,October 2022,FACT,VERIFIED,CBC News October 3 2022,https://www.cbc.ca/news/canada/calgary/homeless-medicine-hat-point-in-time-count-1.6600717,Confirmed CBC,Rising costs of living cited; 19 chronic + 50 in-and-out; Housing First strategy maintained
CL-177,London Ontario veteran functional zero,London Ontario was first Canadian community to functionally end veteran homelessness,"1,446 (City SNA page primary source; media reported ""~1,615 = 10% of 15,418"")",milestone,2020-2021,FACT,VERIFIED,Built for Zero Canada / CAEH announcement,https://www.toronto.ca/community-people/housing-shelter/homeless-help/about-torontos-shelter-system/street-needs-assessment/,Confirmed multiple Built for Zero sources,Referenced in Medicine Hat announcement as separate Ontario success story
CL-178,Built for Zero framework evolution 2025,Built for Zero evolved beyond 'functional zero' threshold in late 2025 to 'verified reductions' framework,New 'verified reductions' framework introduced late 2025; tracks rare+brief+nonrecurring+safe+believable,framework change,late 2025,FACT,VERIFIED,Community Solutions / Built for Zero: April 2026,https://community.solutions/built-for-zero/functional-zero/,URL confirmed June 2026,Previous single threshold replaced with multi-dimensional measurement
CL-179,TSSS 2024 total operating funds,$796.40M total TSSS operating funds received in 2024,$796.40M,CAD,2024,FACT,VERIFIED,TSSS 2024 Annual Report (published May 2025),https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed June 2026 — direct PDF fetch,Context: 2025 gross budget is $897.957M; 2024 actual was $796.4M
CL-180,TSSS 2024 federal IHAP funding,Federal Interim Housing Assistance Program (refugee claimant funding) paid to TSSS in 2024,$261.87M (33% of total $796.4M),CAD,2024,FACT,VERIFIED,TSSS 2024 Annual Report,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed direct fetch,This is the funding that dropped to $97M in 2026 — the IHAP cliff: from $261.87M to $97M
CL-181,TSSS 2024 City tax base share,City of Toronto direct tax base contribution to TSSS 2024,$194.74M (24% of $796.4M),CAD,2024,FACT,VERIFIED,TSSS 2024 Annual Report,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed direct fetch,Province paid $314.76M; Federal paid $286.9M; City paid $194.74M
CL-182,TSSS 2024 provincial New Deal,$200M 'New Provincial Deal' funding received by TSSS in 2024,$200M provincial (25% of total),CAD,2024,FACT,VERIFIED,TSSS 2024 Annual Report,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed direct fetch,This is the special Ontario agreement; HPP base was separate $114.76M = total Ontario $314.76M
CL-183,TSSS 2024 emergency shelter spending,Proportion of TSSS spending going to emergency shelters in 2024,$471.79M (59%),CAD,2024,FACT,VERIFIED,TSSS 2024 Annual Report,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed direct fetch,Refugee claimant response $290.31M (36%); Street outreach $12.93M (2%)
CL-184,TSSS 2024 nightly average,Average nightly shelter system users in 2024,9700 people per night,persons/night,2024,FACT,VERIFIED,TSSS 2024 Annual Report,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed direct fetch,Up from 4100 in 2016; shelter bed now serves half as many people as previously due to chronic homelessness
CL-185,TSSS 2024 unique individuals,Total unique individuals provided overnight shelter in 2024,24200+ individuals including 12600+ refugee claimants,persons,2024,FACT,VERIFIED,TSSS 2024 Annual Report,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed direct fetch,52% refugee claimants of total unique users
CL-186,TSSS 2024 housing exits confirmed,Permanent housing exits in 2024 from TSSS 2024 Annual Report,4300+ people moved to permanent housing,persons,2024,FACT,VERIFIED,TSSS 2024 Annual Report,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed — cross-validates budget notes figure of 4344,Consistent with budget notes 4344 exits in 2024 (down from 5927 in 2023)
CL-187,TSSS 2024 Central Intake calls,Total calls answered at Central Intake in 2024,323000+ calls,calls,2024,FACT,VERIFIED,TSSS 2024 Annual Report,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed direct fetch,Reflects scale of unmet demand — 323K calls for ~9700 nightly spaces
CL-188,Shelter bed half-capacity finding,TSSS 2024 Annual Report notes a shelter bed in 2024 served half as many people as in the past,A bed in 2024 served 50% fewer people than historically — due to people staying longer,capacity metric,2024,FACT,VERIFIED,TSSS 2024 Annual Report,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,URL confirmed direct fetch,This is the chronification argument from primary source: system designed for transitions but operating as permanent residence
CL-189,CIHI 2022-23 average hospitalization cost for homeless,$16785 average hospitalization cost for person experiencing homelessness vs $7803 national average,"$16,785 vs $7,803 (2.15× more expensive)",CAD per stay,2022-2023,FACT,VERIFIED,CIHI Homelessness and Hospital Use 2022-2023,https://www.cihi.ca/en/homelessness-and-hospital-use,URL confirmed June 2026 — CIHI primary database,"30000 hospitalizations coded Z59.0 nationally; 93% via ED; most common: substance use disorders 18%, schizophrenia 11%"
CL-190,CIHI 2022-23 ED admission rate for homeless,93% of hospitalized people experiencing homelessness were admitted via emergency department,93% admitted via ED,percent,2022-2023,FACT,VERIFIED,CIHI Homelessness and Hospital Use 2022-2023,https://www.cihi.ca/en/homelessness-and-hospital-use,URL confirmed June 2026,Suggests inadequate access to primary care — CIHI's own language
CL-191,ICES 2024 total healthcare costs Toronto homeless,"$12,209 average public healthcare costs per homeless person vs $1,769 housed ($1,912 low-income housed) in Toronto 2021-2022","$12,209 per person (6.9× vs housed; 6.4× vs low-income housed)",CAD,2021-2022,FACT,VERIFIED,The Cost of Inaction: Healthcare Expenses Associated with Homelessness in Toronto (ICES/Homeless Hub 2024),https://homelesshub.ca/blog/2024/the-cost-of-inaction-healthcare-expenses-associated-with-homelessness-in-toronto/,URL confirmed June 2026; linked data study using ICES administrative databases,Excess healthcare costs in Toronto: $69.8M-$99.7M annually for ~10000 homeless people
CL-192,Ontario minimum wage 2025-2026,Ontario general minimum wage: $17.20/hour (Oct 2024); $17.60/hour (Oct 2025); $17.95/hour (Oct 2026 announced),$17.60/hour (Oct 2025); $17.95/hour (Oct 2026),CAD per hour,2025-2026,FACT,VERIFIED,GHRC Staffing Solutions citing Ontario ESA; Peninsula Canada citing Ontario ESA,https://ghrc.ca/blog/ontario-minimum-wage-history/,Secondary source but cites Ontario ESA; $17.60 confirmed multiple sources,OW $733/month ÷ ($17.60/hr × 168 hrs/month) = 24.8% ≈ 25% of min wage income in 2025
CL-193,CIHI psychiatric admission cost — REMOVED,Single-model claim of $9254 psychiatric admission cost NOT confirmed in CIHI primary database,REPLACED by: $16785 average hospitalization (all causes) per CIHI 2022-23,N/A,N/A,NOTE,UNVERIFIED-REMOVED,LLM Task D single model,N/A,The $9254 psychiatric admission figure was from one model only; no CIHI primary source confirms it; use $16785 (all-cause hospitalization) from CIHI direct confirmation,
CL-194,Homes First Society T3010 financial data,Homes First Society CRA T3010 fiscal 2023 — largest Toronto non-profit housing provider,"Revenue $64.3M; gov funding $60.8M (94.6%); program $56.0M; overhead 21% (corrected July 3 2026 - was 14.4%, admin-cost component only; Ci's own combined overhead figure is 21%); reserves $13.2M (2.8 months); 433 FTE avg $73789",CAD fiscal year,December 2023 fiscal year,FACT,VERIFIED,Charity Intelligence Canada via CRA T3010 (CRA BN 118962182RR0001),https://www.charityintelligence.ca/charity-details/350-homes-first,Government funding confirmed; overhead is unusually low for sector,"2,300+ nightly residents across 9 properties"
CL-195,Fred Victor Centre T3010 financial data,Fred Victor CRA T3010 fiscal 2025 — 8 emergency shelters + 12 housing sites,Revenue $73.8M; gov funding $61.1M (82.8%); program $52.7M (+23% YoY); overhead 31.3%; reserves $14.8M net; 474 FTE avg $78218,CAD fiscal year,March 2025 fiscal year,FACT,VERIFIED,Charity Intelligence Canada via CRA T3010 (CRA BN 118931377RR0001),https://www.charityintelligence.ca/charity-details/204-fred-victor,225707 shelter nights FY2024 at 95% occupancy; implied $271/night operator cost vs $136/night City accounting,Average stay 136 days = 2643 people served
CL-196,Covenant House Toronto T3010 financial data,Covenant House Toronto CRA T3010 fiscal 2024 — 96-bed youth shelter,Revenue $45.6M; gov funding $4.3M (9.4%); donor $32.8M (72%); program $31.2M; overhead 33.1%; reserves $48.5M (155% of programs = 1.55 years); 265 FTE avg $86262; 2 staff $300k-$350k,CAD fiscal year,June 2024 fiscal year,FACT,VERIFIED,Charity Intelligence Canada via CRA T3010 (CRA BN 106990195RR0001),https://www.charityintelligence.ca/charity-details/78-covenant-house-toronto,Donor-funded outlier (not gov contractor); $48.5M reserves while operating at 98% occupancy is accountability contrast,Legal note: CRA-compliant; frame as taxpayer value not fraud
CL-197,Dixon Hall T3010 financial data,Dixon Hall Neighbourhood Services CRA T3010 fiscal 2024 — 4 shelters + 3 hotel shelters,Revenue $32.9M; gov funding $28.3M (86%); program $26.9M; overhead 31.3%; reserves $10.3M (4.6 months); 271 FTE avg $50312; 1 staff $300k-$350k,CAD fiscal year,March 2024 fiscal year,FACT,VERIFIED,Charity Intelligence Canada via CRA T3010 (CRA BN 118886308RR0001),https://www.charityintelligence.ca/charity-details/114-dixon-hall-neighbourhood-services,345000 meals in shelters; 54850 harm reduction kits,1 staff in $300k-$350k band
CL-198,Four-operator government funding total,$154.5M in annual government funding to four confirmed shelter operators,Homes First $60.8M + Fred Victor $61.1M + Covenant House $4.3M + Dixon Hall $28.3M = $154.5M combined,CAD annual,FY2023-2025 (various),FACT,VERIFIED,Calculated from individual T3010 filings — all primary sources confirmed,N/A — arithmetic from CL-194 through CL-197,32.7% of $471.79M TSSS emergency shelter budget,$86.8M combined reserves across 4 operators
CL-199,YWCA Toronto T3010 data,YWCA Toronto T3010 fiscal 2024 — VAW and homeless women shelters,Revenue $46.5M; gov funding $31.1M (66.9%); program $38.0M; overhead 34.1%; reserves -$42.4M (negative — leveraged into $56M mortgage for housing),CAD fiscal year,March 2024 fiscal year,FACT,VERIFIED,Charity Intelligence Canada via CRA T3010 (CRA BN 108229865RR0001),https://www.charityintelligence.ca/,Negative reserves because YWCA borrowed to build housing — opposite model to Covenant House,Staff: 316 FTE avg $72911
CL-200,OW rate 1990 precise figure,Ontario General Welfare Assistance single adult rate in 1990 was $623/month = 74.8% of minimum wage (not the rounded 70%),74.8% of minimum-wage earnings in 1990; $623/month vs $5.00/hr,percent of min wage,1990,FACT,VERIFY,Feed Ontario 2019 + Canada.ca minimum wage history,https://feedontario.ca/wp-content/uploads/2019/04/Feed-Ontario-Report-Social-Assistance-Changes-2019.pdf,The library used '~70%' — precise figure is 74.8%. Campaign can use 'approximately 75%' or '70-75%',Kimi audit verified this precision; Kimi OW CSV confirms
CL-201,OW rate 2026 precise figure,Ontario Works single adult rate in 2026 = $733/month = 24.5% of minimum wage (on $17.95/hr announced Oct 2026),$733/month = 24.5% of full-time min-wage income,percent of min wage,2026,FACT,VERIFIED,Ontario Regulation 134/98 + Ontario ESA (Ontario.ca),https://www.ontario.ca/laws/regulation/980134,The library used '~26%' or '~25%' — precise figure is 24.5%. Campaign should use 'about a quarter' or '~25%',8th consecutive year frozen since 2018
CL-202,Harris OW cut October 1995,Harris government cut Ontario Works by 21.6% in October 1995 — from $663/month to $520/month,$663 → $520 = -$143/month = -21.6%,CAD,October 1995,FACT,VERIFIED,Open Policy Ontario / John Stapleton; corroborated by ISAC; Kimi OW CSV,N/A — policy documents / historical secondary sources,Rates remained at $520 until approximately 2009; never recovered to 1994 level until 2016-2017,This is the foundational income collapse event
CL-203,Ford 1.5M homes target: government admits won't reach,Internal MMAH notes (Oct-Dec 2024) obtained by Global News state Ontario will 'not reach' 1.5 million homes by 2031 target,Won't reach 1.5M target by 2031; Minister Flack: 'I'm not focused on the target',status,2024-2026,FACT,VERIFIED,Global News (globalnews.ca/news/11937544); CBC News housing starts reporting,https://globalnews.ca/news/11937544/ontario-not-reach-housing-goal/,Internal MMAH notes leaked to media October 2024,Q1 2025 starts = 12700 (lowest since 2009); 64800 projected 2026 vs 175000/yr needed
