document,lines,claim_count,citations_status,citations_notes,readability_status,readability_notes,last_updated
MAIN_DERIV_008_Ward_Accountability_Tracker.md,187,30+,PARTIAL,"Verified the Chris Moise/Fitzrovia donation figures exactly against CBC direct reporting ($10,800 of $91,695.25, 11.8% - math confirmed precisely), noting the library correctly used CBCs careful figure over more inflated numbers found on partisan advocacy sites during this check. Already properly logged (CL-668). The MM34.4 vote in this document was independently confirmed exactly during the MAIN_DERIV_016 check earlier this session (16-3-7, every name, Chow present-then-absent, Bradford no-then-yes) - consistent here. Already fixed the 1,615/1,446 arithmetic error here as part of the DERIV-009 propagation fix. This document has exceptional built-in rigor - it caught and explicitly documented a severe fabrication in an external research submission (wrong ward-councillor mappings) rather than silently using it.",NOT_NEEDED,"assessed - dense accountability content, substantive throughout",2026-07-04
MAIN_DERIV_002_Wave2_Journalist_Guide.md,193,40+,PARTIAL,"Already correctly uses 119% for the opioid figure, confirming propagation. Verified The Local publication TTC subway-delays figure (51% attributed to external factors) exactly against the primary article. Found a gap - no ledger entry despite being a specific, quotable figure - added as CL-780. The Ottawa $845,100/0.4% HPP allocation figure already properly logged (CL-269).",NOT_NEEDED,"assessed - well-organized journalist briefing, no clutter",2026-07-04
MAIN_DERIV_003_Election_Toolkit_2026.md,197,30+,PARTIAL,"Found and fixed a real internal inconsistency: this document said ""unanimously"" for the November 2023 HSCIS vote in two places, contradicting its own Part 4 table which correctly shows 22-1 with Holyday dissenting. Confirmed via direct primary-source check (Holyday specifically requested separate recorded votes on the recommendations he opposed) and via the ledger, which already had this exactly right (CL-277: ""22-1; Stephen Holyday sole No vote"") - only the document prose had drifted. Propagated the identical fix to MAIN_DERIV_008, which had the same ""unanimously"" error.",NOT_NEEDED,"assessed - dense candidate questionnaire content, no clutter",2026-07-04
MAIN_DERIV_007_Ford_Promises_File.md,218,40+,PARTIAL,"Verified Torontos own Bill 23 impact figures exactly against multiple primary and press sources: $230M/year total (20% revenue reduction), $120M/year specifically tied to affordable housing funding - both confirmed word-for-word against CBC/CP24 direct reporting and the Citys own staff reports. Already properly logged with full precision (CL-389). Already fixed the 1,615/1,446 arithmetic error here as part of the DERIV-009 propagation fix earlier this session. This document has exceptional built-in legal-review discipline (a dedicated defamation-law framework at the top, explicit source-check status per claim, self-correction of a bracketed-quote misrepresentation).",NOT_NEEDED,"assessed - sparse relative to length (218 lines, 4 instances), all substantive",2026-07-04
MAIN_DERIV_012_Candidate_Accountability.md,226,30+,PARTIAL,"Verified the 2021.CC34.1 council item exactly against both the primary TMMIS agenda item history and the Citys own press release: Holydays ""zero encampments"" amendment and Cressys ""ending chronic homelessness"" amendment both carried at the same meeting - confirmed, plus richer procedural detail than the document itself captured (Cressy initial attempt to amend Holydays own motion was ruled out of order, leading to his separate motion). Already properly logged (CL-729). The MM34.4 200m/50m tiered-structure explanation in this document already matches my own independent verification from earlier this session exactly - good consistency confirmation.",NOT_NEEDED,"assessed - sparse, substantive",2026-07-04
MAIN_DERIV_004_FOI_Filing_Templates.md,251,15+,PARTIAL,"This document is largely FOI-request boilerplate and legal procedural language rather than new factual claims. The substantive facts cited in it (the $13.2M/$14.9M hotel overcharge, $2.9M unrecovered surplus, COHB suspension dates, the 234,000 figure, the 5,927/4,344 exits, and the $320M 2021 hotel spend total) were all already independently verified earlier this session, either directly or via cross-document propagation. Checked the $320M figure specifically - already properly logged (CL-012, CL-566). This document appropriately references the 59,100 OW/ODSP figure in FOI-004 without the 31,642 correction noted elsewhere - acceptable here since this FOI specifically requests the methodology behind the original 59,100 figure as filed in the transition binder, not asserting it as a current fact.",NOT_NEEDED,"assessed - sparse, procedural/template document by design",2026-07-04
MAIN_DERIV_006_Suno_Album_Brief.md,560,20+,PARTIAL,"A different kind of document - a 12-track original creative brief for AI music generation, not a standard factual asset. Applied a different lens: checked the factual claims embedded in the lyrics rather than treating it as pure creative content exempt from verification, while respecting its nature as original work (not reproduced copyrighted material). Found and fixed two real, complementary errors in Track 6 (""216""): the theme line said ""223 broader total"" (should be 216, matching the lyrics and confirmed CBC/TPH data); the lyrics said ""twenty twenty-five"" for the 59-deaths figure (should be twenty twenty-four, matching the theme line and the primary TSSS Annual Review). Added CL-781/782 for these previously-unlogged figures. Most other factual claims across the 12 tracks (12,742 bed-nights, $733/month OW, 283% shelter violence increase, $320M hotel spend, At Home/Chez Soi) were already verified earlier this session. This document has good built-in discipline (no naming real living individuals, no unsourced statistics permitted).",NOT_NEEDED,"assessed - creative content by design, not applicable in the usual sense",2026-07-04
RESOURCE_GUIDE_SPINE_001.md,136,"N/A - safety check, not citation check",PARTIAL,"Phase 0.1 safety check (MAIN_PROC_013), not a citation check - this document is explicitly exempt from the claim-ledger discipline by design. Confirmed all critical phone numbers current and accurate (Central Intake, Legal Aid Ontario, MCCSS/VAW complaints line) against multiple independent current sources. Found and fixed two consequential issues: added the current COHB allocation-freeze status (someone could otherwise invest effort pursuing a currently-impossible referral without knowing to ask first), and corrected a misattribution of the Good Samaritan Drug Overdose Act (federal, not Ontario-specific) while adding a significant Nov 2025 SCC ruling that strengthened the protection - directly relevant to whether someone feels safe calling 911 during an overdose.",N/A,"Standalone document, different discipline - see MAIN_PROC_013",2026-07-05
SHELTER_OPERATIONS_GUIDE_001.md,233,"N/A - safety check, not citation check",PARTIAL,"Phase 0.1 safety check (MAIN_PROC_013), applying the safety-review lens rather than citation-verification since this is also an exempt standalone document. Confirmed the foundational trauma-prevalence framing (Dinnen et al 2014) is a real, actively-cited reference in this exact academic field, consistent with the broader literature (40-98% ranges commonly reported). Confirmed both named Indigenous organizations (TIPP, ALFDC) are real, currently operating. Identified a genuine content gap during this check: trauma has no dedicated HMK-series treatment despite being this guide own central organizing fact - logged as Task U in MAIN_TASK_001 and item 29 in MAIN_TRACK_001. Full citation-by-citation check (Kirwan & McLaughlin 2024, FEANTSA 2025) not yet completed - remains open for a follow-up pass.",N/A,"Standalone document, different discipline - see MAIN_PROC_013",2026-07-05
MAIN_POLICY_001_Master_Recommendations.md,513,80+,PARTIAL,"Phase 2, first document. Full end-to-end read of all 513 lines, all 50 recommendations across 6 tiers (confirmed exactly: 16+7+5+12+5+5=50, matching the title). Found and fixed two real internal inconsistencies (both stemming from the 216/223 mortality-figure error - see TRACK_001 item 30): the six-numbers table and the Financing Summary narrative both briefly contradicted the correctly-stated 223 figure elsewhere in the same document. Verified new citations: Ali et al. 2026 (gendered mortality study, DOI-confirmed), Feed Ontario 2025 Hunger Report (1,007,441/76%/87% all confirmed exactly), Dunn House (confirmed real, plus added valuable NEW outcome data - 52% ED-visit reduction, 79% hospital-time reduction, $2.1M savings - not previously in this library), and the Tribunal Watch LTB data-alteration allegation (confirmed exactly against Tribunal Watch own site). Two citations (Podymow 2006, OGrady/Gaetz/Buccieri 2011/2013) logged as VERIFY rather than VERIFIED - real, plausible, but not independently re-traced to source this pass. Most Tier 2-6 content and the ROI/accountability addenda were already independently verified elsewhere this session - confirmed consistent, not re-verified from scratch.",NOT_NEEDED,"assessed - dense but well-organized, every passage substantive",2026-07-05
TORONTO_HOMELESSNESS_REPORT.md,177,40+,PARTIAL,"Phase 2. An exceptionally polished, likely flagship public document - full end-to-end read. Resolved an apparent discrepancy (this document own ""38"" vs Ali et al. 2026 ""36"" for womens median age of death) - both are legitimate, sourced figures for different, adjacent reporting periods (H1-2024 preliminary vs full-year 2024), not a contradiction. Confirmed the December 2017 Wong-Tam armoury motion vote (17-25) exactly across CBC, Torontoist, and primary Council minutes - added as CL-788. Confirmed the document appropriately avoids gendered pronouns for Wong-Tam throughout, consistent with their non-binary identity. Most other content (the $897.957M budget, the 12,742 bed-nights, Housing First cost comparisons, IHAP figures, HART Hubs) already independently verified elsewhere this session - confirmed consistent here.",NOT_NEEDED,"assessed - exceptionally well-written and organized, no clutter",2026-07-05
MAIN_POLICY_002_Council_Resolutions_Draft.md,207,N/A - derivative of POLICY-001,PARTIAL,"Phase 2. Full end-to-end read. This document is a highly derivative translation of POLICY-001s 50 recommendations into formal Council WHEREAS/RESOLVED language - every factual clause traces directly to already-verified POLICY-001 content, not new claims. Verified structural consistency: all 6 tiers correctly cross-referenced (56 REC citations across M/P/F/S/PS/DT), clause numbering internally consistent (27 clauses in Resolution 4 = 12 S-series + 5 PS-series + 5 DT-series + 5 M-12-16, matching exactly). The COHB $38M/$19.75M/$7.95M figures match what was already independently confirmed via Chow letter in DERIV-012. Appropriately, clearly marked as draft-only throughout with no procedural standing claimed.",NOT_NEEDED,"assessed - clear, well-organized legislative-format document",2026-07-05
MAIN_REF_003_Executive_Summary.md,153,25+,PARTIAL,"Phase 2. Full end-to-end read. Found and fixed a significant, real error: this document reintroduced the Woodhall-Melnik 71.8%/35.6% mischaracterization that MAIN_REVIEW_002 had already found and fixed everywhere else in the library. Root cause: this document own history (an accidental file-emptying error during an earlier session, reconstructed from the transcript) reintroduced pre-correction content. Verified HMK-010 and REF-002 already have the correct, fixed version - confirming the error was isolated to this one document reconstruction, not a broader regression. Confirmed the 223 mortality figure is already correct here (unlike the two other 216/223 instances found and fixed earlier in POLICY-001). Most other content (the $897.957M budget, cost comparisons, income-trap figures, Ford accountability items) already independently verified elsewhere this session.",NOT_NEEDED,"assessed - concise by design (2,000-word target), no clutter",2026-07-05
MAIN_REF_004_First_100_Days.md,57,N/A - derivative of POLICY-001,PARTIAL,"Phase 2. Full read. Found and fixed two stale references: ""45-recommendation set"" (confirmed exactly 50 in this session own POLICY-001 pass) and a stale ""BRIEF-001"" name (updated to MAIN_REF_003, confirmed as the same document via its own ""2,000-word"" self-description). Also fixed a stale TRACK_001 item number (Gap #32 renumbered to item 4 in a July 2 reorganization this document predates) while verifying the underlying substance (Indigenous-organization consultation precondition for HMK-031) remains accurately characterized. All ten recommendation figures ($7M/2,200 people TCHC, 12,742 bed-nights, etc.) already confirmed elsewhere this session.",NOT_NEEDED,"assessed - concise by design, no clutter",2026-07-05
MAIN_REF_005_ROI_Lock_Memo.md,101,25+,PARTIAL,"Phase 2. Full read. Verified the Treasury Board of Canada VSL figure ($9.8M, 2026 CAD) exactly, word-for-word, including the ""required to use"" framing, against Wikipedia and Canada.ca direct sourcing. Noted a more recent academic critique (Canadian Public Policy) arguing for a higher $13M updated VSL estimate - this does not contradict REF-005s claim, since REF-005 correctly frames $9.8M as the OFFICIALLY REQUIRED figure, not a claim about the best available estimate. Already properly logged (CL-353, CL-593). This document is exceptionally self-disciplined by design - a three-tier ""locked/conditional/do-not-cite"" governance structure with its own documented correction history (the Latimer DOI fix across 5 documents, the modular-housing and Latimer-societal-cost corrections). No new errors found - functions as intended.",NOT_NEEDED,"assessed - a reference/governance document, appropriately structured",2026-07-05
MAIN_AUDIT_001_Contradiction_Review.md,69,N/A - historical audit log,PARTIAL,"Phase 2. This is a historical audit log from July 2, 2026, not a live claims document - approach adapted to checking whether its own findings and flagged items still hold, three sessions later. Item 1 (OW percentage canonicalization across 5 DERIV documents) was CONFIRMED STILL FULLY OPEN despite individual citation passes on all five documents earlier this session that did not catch it - resolved directly (see commit e957758), the first time this specific audit finding has actually been acted on. Item 2 (DERIV-006 $359 lyric) confirmed as an appropriately-deferred creative-copy judgment call, left as-is. Item 3 (poverty industry framing inconsistency between HMK-001 and HMK-037) confirmed still present exactly as described, left as-is per the audits own recorded standing instruction not to force artificial consistency here.",NOT_NEEDED,"assessed - a well-organized audit log, no clutter",2026-07-05
MAIN_AUDIT_002_Legal_Stress_Test.md,50,N/A - historical legal audit log,PARTIAL,"Phase 2. Historical legal/defamation stress-test log (July 2, 2026) - checked whether its key recommendations were actually implemented, three sessions later. Confirmed the compensation legal note DID propagate to DERIV-011 as recommended, and even self-attributes the addition to AUDIT-002 (found during this sessions own earlier DERIV-011 pass, now cross-verified as intended). Confirmed the ""poverty industry"" legal-read cross-reference to TRACK_001 is accurate (an initial case-sensitive search error briefly suggested otherwise - corrected on recheck). This is a genuinely important document for the campaigns legal risk posture; no gaps found in its own follow-through.",NOT_NEEDED,"assessed - a well-organized legal audit log, no clutter",2026-07-05
MAIN_REF_002_Sources.md,1836,140+ individual source entries,PARTIAL,"Phase 2 FINAL document. Full end-to-end read, all 12 core sections (A-K) and all ~40 addenda, ~1,836 lines total - the largest single document check this session, comparable in scale to the flagship MAIN_HMK_001 pass. This document is consistently the BEST-MAINTAINED in the entire library: it already contained the correct ""about a quarter"" OW framing and the correct Woodhall-Melnik systematic-review treatment before either fix was needed elsewhere in the library today - confirming it as the genuine source of truth other documents should have matched but often hadnt. Three real issues found and fixed: (1) C-001s ""Key findings"" contradicted its own ""Key statistics"" three lines below (1,446 vs 1,615, same pattern as MAIN_POLICY_001 today); (2) H-003 had a garbled, self-contradictory fragment from an earlier edit, clarified using HMK-011s confirmed figure; (3) the Section J footer carried a drastically stale claim count (188/147/37/4 vs the actual 773+), replaced with a pointer to the live ledger. Spot-verified several genuinely new claims (Regent Park HART Hub story, Diana Chan McNally candidacy, FAO household figures) - all confirmed or already appropriately hedged as not-yet-verified by the document itself.",NOT_NEEDED,"assessed - a reference compendium by design, table-of-contents navigable, no clutter",2026-07-05
